Program Name,University Name,City,Country,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
Digital Creative Media,Loughborough University,England,United Kingdom,"5,117,157 BDT / year",1 year,4.4,54,2%,https://www.mastersportal.com/studies/154963/digital-creative-media.html?ref=search_card
Electronic and Computer Engineering,University of Birmingham,England,United Kingdom,"1,949,011 BDT / year",1 year,4.2,69,0.50%,https://www.mastersportal.com/studies/2880/electronic-and-computer-engineering.html?ref=search_card
Business Analytics,University of York,England,United Kingdom,"5,117,157 BDT / year",1 year,4.3,136,1%,https://www.mastersportal.com/studies/466158/business-analytics.html?ref=search_card
Data Science,London South Bank University,England,United Kingdom,"2,983,671 BDT / year",1 year,4,54,5%,https://www.mastersportal.com/studies/220766/data-science.html?ref=search_card
Cyber Security,UWE Bristol (University of the West of England),England,United Kingdom,"2,887,424 BDT / year",1 year,4.4,110,4%,https://www.mastersportal.com/studies/251481/cyber-security.html?ref=search_card
Artificial Intelligence,Kennesaw State University,Georgia,United States,"2,454,417 BDT / year",1 year,4.2,18,9%,https://www.mastersportal.com/studies/459234/artificial-intelligence.html?ref=search_card
Artificial Intelligence,IU International University of Applied Sciences,Berlin,Germany,,2 years,4.3,284,,https://www.mastersportal.com/studies/328060/artificial-intelligence.html?ref=search_card
Management of Technology - Information Systems,ESIEE Paris - Université Gustave Eiffel,Paris,France,"986,640 BDT / year",1½ year,4.4,12,8%,https://www.mastersportal.com/studies/9322/management-of-technology-information-systems.html?ref=search_card
Advanced Computer Science,Queen Mary University of London,England,United Kingdom,"5,373,817 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/479189/advanced-computer-science.html?ref=search_card
Sport and Artificial Intelligence,Loughborough University,England,United Kingdom,"4,956,744 BDT / year",1 year,4.4,54,2%,https://www.mastersportal.com/studies/476594/sport-and-artificial-intelligence.html?ref=search_card
Human-AI Interaction,Brunel University of London,England,United Kingdom,"3,977,426 BDT / year",1 year,3.9,154,2%,https://www.mastersportal.com/studies/477865/human-ai-interaction.html?ref=search_card
Cyber Security and Resilience,USTP – University of Applied Sciences St. Pölten,Sankt Pölten,Austria,"422,846 BDT / year",2 years,4.6,405,,https://www.mastersportal.com/studies/292681/cyber-security-and-resilience.html?ref=search_card
Data Science and Artificial Intelligence,Bournemouth University,England,United Kingdom,"3,007,733 BDT / year",1 year,4.1,75,4%,https://www.mastersportal.com/studies/283155/data-science-and-artificial-intelligence.html?ref=search_card
Artificial Intelligence,Brunel University of London,England,United Kingdom,"3,977,426 BDT / year",1 year,3.9,154,2%,https://www.mastersportal.com/studies/307541/artificial-intelligence.html?ref=search_card
Computer Science,University of Greenwich,England,United Kingdom,"2,999,713 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/454832/computer-science.html?ref=search_card
Data Science and Analytics,Kennesaw State University,Georgia,United States,"2,454,417 BDT / year",2 years,4.2,18,9%,https://www.mastersportal.com/studies/130330/data-science-and-analytics.html?ref=search_card
Environmental Geospatial Science,University of Tasmania,Tasmania,Australia,"3,386,390 BDT / year",2 years,4.1,18,2%,https://www.mastersportal.com/studies/386199/environmental-geospatial-science.html?ref=search_card
Data Science and Analytics,University of Westminster,England,United Kingdom,"2,807,218 BDT / year",1 year,4.3,129,6%,https://www.mastersportal.com/studies/345662/data-science-and-analytics.html?ref=search_card
Data Science,IU International University of Applied Sciences,Berlin,Germany,,1 year,4.3,284,,https://www.mastersportal.com/studies/328069/data-science.html?ref=search_card
Marketing and User Experience,Bournemouth University,England,United Kingdom,"3,047,836 BDT / year",1 year,4.1,75,4%,https://www.mastersportal.com/studies/276753/marketing-and-user-experience.html?ref=search_card
Applied Artificial Intelligence for Engineering,University of Greenwich,England,United Kingdom,"2,999,713 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/454824/applied-artificial-intelligence-for-engineering.html?ref=search_card
Artificial Intelligence and Digital Health,University of Westminster,England,United Kingdom,"2,807,218 BDT / year",1 year,4.3,128,6%,https://www.mastersportal.com/studies/457296/artificial-intelligence-and-digital-health.html?ref=search_card
Computer Science,University of Birmingham,England,United Kingdom,"5,572,728 BDT / year",1 year,4.2,69,0.50%,https://www.mastersportal.com/studies/2902/computer-science.html?ref=search_card
Data Science and Analytics,New England College,New Hampshire,United States,"1,876,090 BDT / year",1½ year,1.5,2,,https://www.mastersportal.com/studies/386904/data-science-and-analytics.html?ref=search_card
Artificial Intelligence and Data Analytics,Loughborough University,England,United Kingdom,,1 year,4.4,54,2%,https://www.mastersportal.com/studies/363891/artificial-intelligence-and-data-analytics.html?ref=search_card
Data and Marketing Analytics,University of Westminster,England,United Kingdom,"3,128,043 BDT / year",1 year,4.3,128,6%,https://www.mastersportal.com/studies/478725/data-and-marketing-analytics.html?ref=search_card
